epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,393.373,1.09037,0.5941,1.0619,0.93936,0.98077,0.98241,0.69982,1.08115,0.53337,0.97229,0.000581,0.000581,0.000581
45,402.351,1.02291,0.55995,1.03439,0.97997,0.94079,0.97268,0.68769,1.05637,0.5847,0.9657,0.000548,0.000548,0.000548
46,411.273,1.07048,0.57223,1.04194,0.94239,0.94373,0.97835,0.68852,1.0588,0.58247,0.96383,0.000515,0.000515,0.000515
47,419.721,1.04693,0.5661,1.02466,0.93817,0.96154,0.98387,0.68067,1.13731,0.56786,0.98337,0.000482,0.000482,0.000482
48,428.756,0.96612,0.53029,1.00363,0.94233,0.98077,0.97379,0.68583,1.10343,0.56488,0.97497,0.000449,0.000449,0.000449
49,437.583,1.01475,0.54643,1.02342,0.94336,1,0.98309,0.69208,1.09449,0.5093,0.97452,0.000416,0.000416,0.000416
50,445.871,0.98768,0.53853,1.02059,0.94346,0.96263,0.98209,0.69109,1.14522,0.54494,0.99674,0.000383,0.000383,0.000383
51,456.303,0.93943,0.48641,1.01842,0.97999,0.94197,0.98144,0.66473,1.26417,0.55321,1.03947,0.00035,0.00035,0.00035
52,465.39,0.93862,0.48349,1.01911,0.97998,0.94151,0.97774,0.6834,1.13254,0.53965,1.0026,0.000317,0.000317,0.000317
53,472.967,0.91271,0.46348,1.00791,0.94,0.96154,0.97587,0.67933,1.14225,0.55997,1.0275,0.000284,0.000284,0.000284
54,481.748,0.91063,0.46682,1.00423,0.92685,0.98077,0.9789,0.70073,1.06694,0.5448,0.96813,0.000251,0.000251,0.000251
55,490.597,0.88403,0.4566,1.00007,0.96538,0.94231,0.98314,0.70855,1.06773,0.5621,0.98356,0.000218,0.000218,0.000218
56,499.643,0.88797,0.44673,0.99414,0.94434,0.97876,0.9827,0.70951,1.04202,0.52392,0.96007,0.000185,0.000185,0.000185
57,508.387,0.88214,0.4556,1.00088,0.94046,0.96154,0.9822,0.70507,1.0729,0.53802,0.97715,0.000152,0.000152,0.000152
58,517.089,0.84986,0.44048,0.98098,0.94998,0.96154,0.98155,0.7086,1.04715,0.51137,0.95935,0.000119,0.000119,0.000119
59,524.868,0.85498,0.43387,0.99202,0.93765,0.96154,0.98181,0.70426,1.05755,0.50572,0.95602,8.6e-05,8.6e-05,8.6e-05
60,533.403,0.83775,0.42959,0.98328,0.97625,0.94231,0.983,0.71642,1.04798,0.50314,0.95092,5.3e-05,5.3e-05,5.3e-05
